DataSet,Method,Recovery_Ratio,Recovery_Ratio_std,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU,CAU_std,CAU_ci95_lo,CAU_ci95_hi,CAU_pp,CAU_pp_std,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD,RRD_std,RRD_ci95_lo,RRD_ci95_hi,RRD_pp,RRD_pp_std,RRD_pp_ci95_lo,RRD_pp_ci95_hi,extra_recoveries,extra_recoveries_std,CAU_pp_perm_p,N_Runs,N_Valid_CAU_Runs,Modality,Dataset
multi_TransNEO,CB,2.9686,0.8856,2.3398,3.3634,0.104,0.0371,0.0844,0.1222,10.3955,3.7139,8.4364,12.2209,0.2762,0.0968,0.2267,0.3236,27.624,9.6837,22.6731,32.3579,15.2813,5.4594,0.001,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,CF,1.5419,0.174,1.2906,1.823,0.0416,0.0121,0.0245,0.0599,4.1589,1.2144,2.4477,5.9866,0.1157,0.0309,0.0684,0.1661,11.5701,3.0865,6.8352,16.6092,6.1136,1.7851,0.001,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,CUTS,2.775,0.5418,2.324,3.2456,0.0972,0.0192,0.08,0.1157,9.7213,1.9164,7.9976,11.5684,0.2771,0.0525,0.2302,0.3245,27.7119,5.2506,23.0241,32.4511,14.2903,2.8171,0.001,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,DR_L,1.193,0.2141,0.9975,1.397,0.0149,0.0165,-0.0002,0.0305,1.4904,1.6526,-0.0233,3.0542,0.0439,0.0487,-0.0007,0.0918,4.3864,4.8715,-0.0703,9.1841,2.1909,2.4293,0.1848,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,FDR,3.7981,0.4203,3.2862,4.3786,0.0845,0.0097,0.0707,0.0985,8.4501,0.9735,7.0678,9.8549,0.4839,0.0552,0.4221,0.5422,48.3943,5.5177,42.2113,54.2241,12.4216,1.431,0.001,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,R_L,0.894,0.3384,0.7196,1.0774,-0.0071,0.0236,-0.0201,0.0051,-0.7087,2.3595,-2.0123,0.5077,-0.0353,0.0893,-0.0788,0.0195,-3.5273,8.926,-7.8841,1.9483,-1.0418,3.4685,0.2567,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,S_L,1.2314,0.1414,1.0185,1.459,0.019,0.0114,0.0016,0.0362,1.8963,1.1369,0.1605,3.6204,0.054,0.0323,0.0047,0.1032,5.3999,3.2301,0.4701,10.3157,2.7876,1.6713,0.015,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,XGB,1.4099,0.1923,1.1834,1.6697,0.0319,0.0131,0.015,0.0497,3.1857,1.3053,1.5009,4.9687,0.0907,0.0377,0.0438,0.1395,9.0655,3.7663,4.375,13.9494,4.6829,1.9189,0.002,10,10,Multi-omics,TransNEO multi-omics
multi_TransNEO,X_L,2.2184,0.5383,1.8231,2.5686,0.0489,0.017,0.0353,0.0633,4.8868,1.6984,3.5349,6.3295,0.2475,0.0878,0.1819,0.3073,24.7472,8.7764,18.1873,30.7314,7.1836,2.4967,0.95,10,10,Multi-omics,TransNEO multi-omics
multi_ARTemis,BITES,2.8391,1.0867,2.0635,3.3733,0.0362,0.0203,0.0219,0.05,3.6218,2.0328,2.189,5.0007,0.4003,0.2136,0.2634,0.5031,40.0266,21.3631,26.3388,50.3102,2.6077,1.4636,0.001,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,CB,2.2464,1.0376,1.6642,2.6576,0.0695,0.0353,0.046,0.0948,6.951,3.5329,4.5962,9.4815,0.2102,0.1002,0.1423,0.2833,21.0184,10.024,14.2346,28.3283,5.0047,2.5437,0.001,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,CF,0.5947,0.1466,0.4567,0.7611,-0.068,0.0409,-0.0927,-0.0327,-6.7956,4.0864,-9.2651,-3.2689,-0.1393,0.0673,-0.194,-0.0699,-13.9323,6.7251,-19.4009,-6.9861,-4.8928,2.9422,0.001,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,CUTS,1.834,0.3203,1.4043,2.3136,0.0638,0.0168,0.0367,0.0923,6.3844,1.6786,3.6749,9.23,0.1624,0.0486,0.0901,0.2259,16.2437,4.8568,9.0123,22.5899,4.5968,1.2086,0.003,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,DR_L,0.6696,0.2497,0.4656,0.8595,-0.0391,0.0437,-0.0579,-0.013,-3.9055,4.3674,-5.7899,-1.2972,-0.1107,0.1081,-0.1715,-0.0391,-11.0692,10.8116,-17.1535,-3.9064,-2.5981,2.5411,0.0789,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,FDR,3.2858,1.2765,2.4138,3.8891,0.0991,0.0412,0.0747,0.1218,9.907,4.1177,7.4717,12.1752,0.3302,0.1022,0.2634,0.4062,33.0185,10.2217,26.3438,40.6189,7.133,2.9648,0.001,10,10,Multi-omics,ARTemis multi-omics
